text,id
how much are my rent and cable,test-0
i need some suggestions for dinner places tonight,test-1
can you report a lost card for me,test-2
timezone currently in mobile,test-3
tell me what to call you,test-4
when is my meeting with jack for,test-5
i'd like the language to be in spanish,test-6
please remove lunch with sally that is on my calendar on tuesday the 8th,test-7
can you please let me know the status of my capital one application,test-8
open bank app and show my most recent transactions,test-9
start whisper mode,test-10
can you trll me where to get my w2,test-11
turn on metallicas greatest hits,test-12
"flip a coin, heads",test-13
can you check my credit score,test-14
"i need to tell my bank i am, indeed, going to be in london in a few hours",test-15
"reserve a meeting room for friday, 5pm",test-16
make an immediate transfer of ten thousand from money market to checking,test-17
it might go either way,test-18
when is my flight scheduled to board,test-19
clear my calendar on feb 28,test-20
how do i do an oil change,test-21
reservations for two need to be made using michael's name for 7:00pm at olive garden,test-22
what's the date,test-23
how would they say butter in zambia,test-24
i must understand the nearest gas station to glendale,test-25
i would like to know the name you have for me,test-26
that's correct,test-27
could you be a person,test-28
many thank,test-29
can 401ks be moved,test-30
dog in spanish,test-31
what is 1000 plus 745,test-32
please go on amazon so i can buy bluetooth speakers,test-33
what amount is my income,test-34
turn volume to 4,test-35
what's the nutrition info for a pound of chicken,test-36
what day is payday,test-37
where should i go for food tonight,test-38
please put this song on my studying playlist,test-39
how can i increase my credit score,test-40
can you set the alarm for noon,test-41
add funds to the retirement account from the pnc account only,test-42
can i get someone to check my check engine light,test-43
i would like it if you would turn the bedroom lights on low until i'm finished reading,test-44
can you cancel improv class from my calendar for may 7th,test-45
who was your maker,test-46
speed up speech please,test-47
what gas does this car use,test-48
is my order on its way or what's going on,test-49
who do i need to contact to ask for a credit limit increase on my discover card,test-50
tell me spaghetti bolognese's nutrition facts,test-51
when will i received a replacement card,test-52
i need to rent an suv in charlestown for the first week in june who do you suggest,test-53
any new info on my vacation,test-54
please read my shopping list,test-55
"ai shake the dice in a cup, then throw dice on table",test-56
are you computer or human,test-57
will i incur transaction fees if i use my american card internationally,test-58
what is the highway mpg on this car like,test-59
what did i tell you to call me,test-60
what are your hobbies exactly,test-61
what is the next thing i should do if i lost my luggage,test-62
"my check engine light is on, i need someone to look at it",test-63
whats your age,test-64
i need to know what the meaning of life is now,test-65
how does measurement a convert to measurement b,test-66
how is the weather in austin,test-67
date please,test-68
may i increase my credit limit by 500 dollars,test-69
can you please help me move $100 from my checking to saving account,test-70
give me the conversion between ounces and cups,test-71
what's the exchange rate between ils and usd,test-72
what's your designation,test-73
does cuba require vaccines,test-74
x needs to be called by me,test-75
what type of gas do i put in this new car,test-76
i was in thailand and i could not use my card to buy snacks,test-77
change from whisper mode,test-78
can i move some money around,test-79
how is a vacation request done,test-80
give me the pressure for the tires on my car,test-81
how many minutes am i from texaco,test-82
are there reservation for joe and will,test-83
what's up with my american airline flight will it be on time,test-84
what is the calorie content in spaghetti,test-85
how many calories are in a taco,test-86
"""which things are wanted to remember",test-87
how does one go about putting in a vacation request,test-88
it's definitely a maybe for that,test-89
there is no way in heck that is true,test-90
look up the song that's on right now,test-91
what's my daily spending limit,test-92
i need to add flour to my list for shopping if i haven't already,test-93
"hey, how are you",test-94
what are some cool tourist attractions in england,test-95
what insurance plan am i enrolled in,test-96
"can you say that again, please",test-97
tell me fun science facts,test-98
what have i spent on food this month,test-99
what is the amount of time to keep milk refrigerated,test-100
can i get a timer set,test-101
"i would like you to change the settings back to factory default now, please",test-102
what number of days do i have for vacation,test-103
stop this process,test-104
can i increase the credit limit on my travel rewards card,test-105
will you remove the dinner with june on saturday the 4th at 7pm from my calendar,test-106
what is the date in 5 days,test-107
is my apr rate better than most,test-108
what steps do i need to follow to jump start my car,test-109
how long do i cook this for,test-110
please give me the pin number for my checking account,test-111
why did my bank place a hold on my bank account,test-112
when is the soonest holiday,test-113
how can i raise my credit score,test-114
i need to pay my visa,test-115
what fuel should i use for this car,test-116
can i take pto from the end of the month to the 5th of the next month,test-117
i want to know if your a bot,test-118
they sold out of tacos at the buffet,test-119
"today my electric bill will be paid, or should be",test-120
do you think being alive has any meaning,test-121
what's the updated status of my order,test-122
are there vaccinations needed if i go there,test-123
i was in thailand trying to buy candies and my card got declined,test-124
what are some good places to go out for dinner in my area tonight,test-125
please tell me if my application for the hsbc card has gone through yet,test-126
what firm do you work for,test-127
can you name the type of pets you have,test-128
can you find me a reputable hotel in honolulu,test-129
what's your bday,test-130
how much interest is my nfcu accrueing,test-131
find travel alerts for haiti,test-132
setting up direct deposit,test-133
where can i see the due date for auto loan bill,test-134
"whisper mode, stop",test-135
i need this song on my jam playlist,test-136
show my position on the map,test-137
tell me what's on my todo list,test-138
how many days of vacation are left now,test-139
change voice speed,test-140
from where do you come,test-141
i would like to know my credit score,test-142
will it still work if i use applesauce instead of oil,test-143
"ai, call me deb",test-144
can you call alexa,test-145
can i use red onions instead of white,test-146
can you help me pick some fun things to do in london during my trip,test-147
give me examples of what to ask you,test-148
what is the price of my state taxes that i owe,test-149
my 401k needs to rollover and i need your help,test-150
state recent transaction,test-151
tell me who your maker was,test-152
"text mike, ""i'm running late",test-153
do i have to buy milk,test-154
tell me nutritional info for fish,test-155
what does my checking account at chase earn in interest,test-156
what time is it in the mountain timezone,test-157
ok good chatting goodbye,test-158
how much did i spend on my most recent transaction,test-159
what price is my credit card and my water bill at,test-160
see how many days i've taken off so far,test-161
"i want to pay my electric bill, can you do it for me",test-162
how long does it take to prepare a lasagna,test-163
"on the tv, turn on",test-164
can you tell me what the meaning of life is,test-165
how many calories are in a sandwich,test-166
"help, i've lost my cellphone!",test-167
eleven madison park takes reservations right,test-168
how do you say dog in spanish,test-169
please cancel my reservation for tim at jb's,test-170
i want to know how to go about getting a new credit card,test-171
is my apr rate above average,test-172
why can't i access my chase account,test-173
"""which is the best way to improve the credit score",test-174
go back to factory settings,test-175
"tell me the time in san francisco, please",test-176
can i speed up your voice,test-177
is it safe to go to serbia,test-178
when did i last make a purchase,test-179
my card is damaged,test-180
my luggage has disappeared,test-181
i'll be travelling to russia from april 1 through april 20 and need my financial institute apprised of it,test-182
what is the weather forecast looking like for seattle,test-183
you got that wrong,test-184
how do you convert kilos to pounds,test-185
how many days did i take off,test-186
how long before the replacement card is mailed to me,test-187
do i have any calendars set for may 12th,test-188
i need you to turn the bathroom lights on,test-189
so where do you come from originally,test-190
transer $800 from my checking to savings account,test-191
know any dad jokes,test-192
what is the result when you roll a four sided die,test-193
is there an international charge for using my card in france,test-194
skip ahead one song,test-195
do you have any idea if the flying wing does reservations,test-196
can you get paired to my phone right away,test-197
will i be charged transaction fees if i use my american card internationally,test-198
show my transactions,test-199
how long will it take to make an omelet,test-200
who is the person that brought you to life,test-201
can you tell me my current location,test-202
i want the interest rate for my checking account,test-203
find square root of 453,test-204
at the moment what song is playing on the speaker,test-205
i need to add something to my calendar for next tuesday,test-206
what is the shipping wait for my card,test-207
i recently lost my credit card and need to know how long it takes to get a new one mailed to me,test-208
what date do i get paid,test-209
what do my visa points look like,test-210
how do i order some more checks for my usaa account,test-211
tell me some trivia about sweat,test-212
"what is the average of 54, 23, 43, 12, and 442",test-213
what is the calorie content in bananas,test-214
add this song to my rock playlist,test-215
my credit card was turned down at target and i'd like to know why,test-216
my luggage appears to be lost,test-217
can you speak faster,test-218
what's the typical wait time for mr joes pizza,test-219
"can you help me locate my phone, please",test-220
what kind of credit card apr do i get,test-221
set a timer for 10 minutes,test-222
what's the spending limit on my lloyds card,test-223
how do i set up direct deposit,test-224
i would love to get a new credit card,test-225
does cleveland have any good places that serve clams,test-226
how many minutes will it take to get to the empire state building in manhattan,test-227
can you assist me with finding my phone,test-228
do you know my state tax total,test-229
is there a reason beyond biology about why humans are alive,test-230
turn down your speaker,test-231
i need an uber to get to the bank,test-232
i need to rent a car for may 11thto may 13th in chicago and i'd like a coupe,test-233
what is my minimum verizon bill payment,test-234
are there any open reservations at outback tonight,test-235
make the lights darker,test-236
is it possible to use baking soda instead of flour,test-237
do i need a visa to travel to indonesia,test-238
are you a pet owner and what kind,test-239
can you please provide me with assistance in moving money from one account to another,test-240
find the next holiday,test-241
inform my bank i'm traveling to australia between february 23rd to february 25th,test-242
erase all events on friday from my calendar,test-243
"could you call me by a different name, please",test-244
how do i jump start my car,test-245
would you give me examples of what some of your hobbies are,test-246
set a timer for 5 minutes from now,test-247
how much does my bank account have,test-248
i have a damaged card that needs replaced because my son dropped it in a blender,test-249
do i have any calendar entries for march 8th,test-250
what's the preparation time for this dish,test-251
i need some directions to phoenix,test-252
send a text that says hi to abby,test-253
what should i do about losing my luggage,test-254
i would like to set a reminder to bring the plants in tonight,test-255
tv turn it on,test-256
can you check and see why us bank put a hold on my account,test-257
tell me the status of my american airlines flight,test-258
can you set the timer to 20 minutes,test-259
when is the date of expiration for my first bank card,test-260
check meeting room availability between one and three pm,test-261
tell me a good joke,test-262
help me transfer $100 from my checking to saving account,test-263
is it after noon,test-264
how many millimeters are in 21 centimeters,test-265
what is your preferred name,test-266
why is there a delay on my checking account,test-267
get me a table for five at itta bena at three,test-268
where do i report that my card was lost,test-269
"i need to know what the current apr is for my chase sapphire, please",test-270
get a text to mark,test-271
i need to book a place to stay in phoenix from the 5th to the 9th of march,test-272
i need to know how many days i toof off,test-273
what are the required shots in mozambique,test-274
what are my finances like lately,test-275
how far out is flight dl123,test-276
find the nutrition info for cheese fries for me,test-277
"could you call me a different name, please",test-278
are you really real,test-279
"skip this song, please",test-280
"so, where do you come from",test-281
how would i say i need directions if i were french,test-282
is it safe for people to travel to pakistan,test-283
what will i make this year,test-284
what's a good chili recipe,test-285
who assembled you,test-286
let me know when it's been 5 minutes,test-287
call me shane,test-288
i would like to know who your boss is,test-289
tell me the last day i can pay my gas bill,test-290
is milk on my shopping list,test-291
is it okay to change your name to samson,test-292
search for a chili recipe for me,test-293
what can i use to convert from centimeters to inches,test-294
look up recipe time for this,test-295
roll a fourteen sided dice exactly,test-296
thanks for your help!,test-297
what fuel do i put in this car,test-298
"can you change the oil, with what and how",test-299
are cool people at the bar at 9:00 pm,test-300
the list should also have 2 loaves of bread,test-301
what was the company that designed you,test-302
how long does it take for a credit card to be reissued and mailed to me,test-303
can you flip a coin i call heads,test-304
find out the best tourist attractions to visit in moscow,test-305
what do i need for a plug in wales,test-306
can you get me an uber to disney world,test-307
tell me something interesting about bees,test-308
what is today's fun fact,test-309
is everything ok today,test-310
can you freeze my bank account,test-311
can you text walt and tell him to meet me at the car wash,test-312
tell me how much longer i will have to drive to reach the destination,test-313
i will be glad to know what type of things you can help me with,test-314
activate direct deposit to chase account,test-315
i want some suggestions for tourist activities in dublin,test-316
unsync yourself from my device,test-317
set a reminder for me to let the plumber in tomorrow,test-318
stop talking you are annoying,test-319
what plug type is used internationally,test-320
