text,intent,id
how long should i cook steak for,cook_time,eval-0
please tell me how much money i have in my bank accounts,balance,eval-1
what is the gas level in my gas tank,gas,eval-2
how late is it now in ourense,time,eval-3
i really need to get a volkswagen car rental for march 5th to march 8th in phoenix,car_rental,eval-4
what location is this,current_location,eval-5
how is dim sum at legend,restaurant_reviews,eval-6
was there a problem with my card yesterday,card_declined,eval-7
where were you born as a kid,where_are_you_from,eval-8
can you tell me how much pto have i use,pto_used,eval-9
i think my luggage is stolen,lost_luggage,eval-10
are there any vegan restaurants in my town,restaurant_suggestion,eval-11
please set a timer to go off in 45 minutes,timer,eval-12
are you able to switch butter and oil,ingredient_substitution,eval-13
how much is 1 dollar worth in country b's money,exchange_rate,eval-14
can you tell the temperature it will tomorrow,weather,eval-15
what is my card's apr and is it good,apr,eval-16
how can i make changes for my insurance policy,insurance_change,eval-17
can i travel to france as far as safety goes,travel_alert,eval-18
can you define the word schadenfreude,definition,eval-19
what is the schedule for my next oil change,oil_change_when,eval-20
i want to hear something hilarious,tell_joke,eval-21
what is the gas mileage on a 2012 ford fusion,mpg,eval-22
i need to report unauthorized activity on my card,report_fraud,eval-23
what are my tax costs,taxes,eval-24
change the language to english,change_language,eval-25
have you heard any great jokes lately,tell_joke,eval-26
submit payment to duke energy for my electric bill,pay_bill,eval-27
need help with frozen bank account,account_blocked,eval-28
would it be accurate to call you a bot,are_you_a_bot,eval-29
add wash the dog to my list of things to do,todo_list_update,eval-30
do you know the calorie content of a strip of bacon,calories,eval-31
i need to know the weather,weather,eval-32
what's my schedule like for thursday the 14th,calendar,eval-33
which day is it today,date,eval-34
please place this track on my driving mix,update_playlist,eval-35
what do you think we are on earth for,meaning_of_life,eval-36
are there any current travel alerts for brazil,travel_alert,eval-37
i'm out of toilet paper so will you put that on my shopping list,shopping_list_update,eval-38
do you know why my card was declined at target i can't figure out why,card_declined,eval-39
what is the status of my vacation time request,pto_request_status,eval-40
pay a bill!,pay_bill,eval-41
what is the least i can pay on my mortgage bill,min_payment,eval-42
how can i learn how to use direct deposit,direct_deposit,eval-43
i would like to know more about getting a new credit card,new_card,eval-44
what is our purpose,meaning_of_life,eval-45
i'd like to know if my capital one credit card have international transaction fees,international_fees,eval-46
what is the procedure if i lost my luggage,lost_luggage,eval-47
"for friday, add a doctor's appointment to my calendar",calendar_update,eval-48
how long until my oil needs to be changed,oil_change_when,eval-49
can i make an appointment to get my tires checked,schedule_maintenance,eval-50
my card is messed up from carding my door,damaged_card,eval-51
let me hear the song sympathy for the devil,play_music,eval-52
what is the weather outside,weather,eval-53
can you please turn your volume down,change_volume,eval-54
i want you to call me a different name so can you call me charchar,change_user_name,eval-55
i must procure a car rental for the 10th to the 15th in zimbabwe and i would prefer a bmw,car_rental,eval-56
what would the routing number for chase be,routing,eval-57
tell me the date it will be 5 days from now,date,eval-58
do you know how the ratings are for yardhouse,restaurant_reviews,eval-59
where would i find my w-2,w2,eval-60
place a hold on my chase money market market account at once,freeze_account,eval-61
what transactions do i have on my visa from the last 4 weeks,transactions,eval-62
when did i change my oil,last_maintenance,eval-63
please roll that dice,roll_dice,eval-64
what exactly is my credit limit,credit_limit,eval-65
how long should i cook carnitas for,cook_time,eval-66
does my todo list have vacuuming on it,todo_list,eval-67
i want to pay a bill,pay_bill,eval-68
how long since my oil had a refresh,last_maintenance,eval-69
affirmitive,yes,eval-70
is there a reason my card was declined,card_declined,eval-71
change your accent now,change_accent,eval-72
do i have toothpaste on my shopping list,shopping_list,eval-73
what place do you come from,where_are_you_from,eval-74
can you find me a round trip flight from denver international to new york international on the 3rd through the 7th,book_flight,eval-75
i want a block placed on my checking account right away,freeze_account,eval-76
help me change my account,change_accent,eval-77
i'd like an appointment at your earliest availability for an oil change,schedule_maintenance,eval-78
turn on the tv please,smart_home,eval-79
has my visa card application been approved yet,application_status,eval-80
tell me the forecast,weather,eval-81
list a few pizza places that have seating near my current location,restaurant_suggestion,eval-82
what's the difference between usd and cad,exchange_rate,eval-83
apple cider has been in my fridge for four months so can i still drink it,food_last,eval-84
"if i plan on travelling to this country, do i need a visa",international_visa,eval-85
i am going away and need to rent a car,car_rental,eval-86
i am happy you did that for me,thank_you,eval-87
i am glad that you did that,thank_you,eval-88
i want assistance with my utility bill,pay_bill,eval-89
what are the ingredients used in chicken curry,ingredients_list,eval-90
what is the time in paris now,time,eval-91
how long do i need to cook beef stew for,cook_time,eval-92
find out where i can schedule to get my car's tires checked,schedule_maintenance,eval-93
can you find the expiration date and tell me what it is that is on my visa credit card,expiration_date,eval-94
give me a cool fact about puppies,fun_fact,eval-95
you must change your language setting to russian,change_language,eval-96
how can i rent a car in las vegas,car_rental,eval-97
where do i rent a car in las vegas from november 16th to december 16th,car_rental,eval-98
do you have any dogs or cats,do_you_have_pets,eval-99
can you help me add the song i listen to to my clutch playlist,update_playlist,eval-100
please start the song penny lane,play_music,eval-101
my luggage is missing,lost_luggage,eval-102
do you posses any types of pets,do_you_have_pets,eval-103
i'd like to know the meaning of life,meaning_of_life,eval-104
what electrical plug do they use in the uk,plug_type,eval-105
what is the amount i owe to clay electric,bill_balance,eval-106
my account appears to be blocked and i don't know why,account_blocked,eval-107
send robert a text from me telling him okay,text,eval-108
change your language setting to spanish,change_language,eval-109
how long can i keep chicken in the freezer for before it goes gross,food_last,eval-110
how to jump start a car,jump_start,eval-111
how do i check my rewards for my capital one card,rewards_balance,eval-112
what gas does this car take,gas_type,eval-113
what's the funniest thing you've got,tell_joke,eval-114
approved,yes,eval-115
mark my calendar that i will be meeting steven on march 5,calendar_update,eval-116
would you talk a bit faster instead,change_speed,eval-117
do you work for another individual,who_do_you_work_for,eval-118
when do i need to pay my dte energy bill,bill_due,eval-119
what's the weather today,weather,eval-120
how does the traffic look on my way to work right now,traffic,eval-121
what is the total day off have i taken,pto_used,eval-122
please initiate a phone call to my boss,make_call,eval-123
when will my car next be due to get its tires changed,tire_change,eval-124
what is on my to do list,reminder,eval-125
"i need a tutorial to learn how to change my oil, please",oil_change_how,eval-126
how can i get a new card that got melted in the sun,damaged_card,eval-127
can you arrange a meeting for 3:00 on wednesday,schedule_meeting,eval-128
"now, i want you to play the next song",next_song,eval-129
move a dollar from my checkings to my savings,transfer,eval-130
"thank you for chatting with me, bye",goodbye,eval-131
could you tell me a good joke,tell_joke,eval-132
i'd like to know if my account's blocked and the reason if so,account_blocked,eval-133
how many times do i get paid in march,payday,eval-134
what timezone is hanoi in,timezone,eval-135
can i have a reminder set up,reminder_update,eval-136
can you suggest some of the most popular travel destination,travel_suggestion,eval-137
is it safe to travel to mexico,travel_alert,eval-138
10 minutes is what the timer should be set at,timer,eval-139
what is your name by chance,what_is_your_name,eval-140
could you tell me the limit on my chase credit card,credit_limit,eval-141
is there a routing number for wachovia,routing,eval-142
you need to change your language setting to russian please,change_language,eval-143
assist me in getting a new credit card,new_card,eval-144
how many ounces in a liter,measurement_conversion,eval-145
can you share my credit score with me,credit_score,eval-146
check if my vacation time has been approved,pto_request_status,eval-147
please let me review all items on my mastercard from this billing period,transactions,eval-148
which way do you have my name saved,user_name,eval-149
i would really like to know if i can go on vacation,pto_request_status,eval-150
how do i report a stolen card,report_lost_card,eval-151
how long should i cook pho for,cook_time,eval-152
how long do i need to cook roast for,cook_time,eval-153
could you please reserve a table for 6 at lucille's under the name tom at 5pm,restaurant_reservation,eval-154
speak mandarin,change_language,eval-155
how's it hanging,greeting,eval-156
is there a minimum amount accepted,min_payment,eval-157
how much have i spent on make up recently,spending_history,eval-158
what is the amount i owe on my phone,bill_balance,eval-159
tell me the routing number for bluebird,routing,eval-160
tell me a cool fact about reno,fun_fact,eval-161
i need your assistance to solve this math problem,calculator,eval-162
you are correct,yes,eval-163
show tracking information on my replacement credit card,replacement_card_duration,eval-164
make me an appointment for a tire check,schedule_maintenance,eval-165
"you can remove the wedding from my calendar for march 12, 2019",calendar_update,eval-166
i need to know when to change oil,oil_change_when,eval-167
scrap reservation at 4 for red robin,cancel_reservation,eval-168
how do i order more free checkbooks,order_checks,eval-169
reset to factory settings,reset_settings,eval-170
whare the ingredients for the stir fry,ingredients_list,eval-171
are there any videos on how to repair my credit score,improve_credit_score,eval-172
i need your volume increased,change_volume,eval-173
can you suggest a few credit cards that have good rewards points,new_card,eval-174
how many days off have i used,pto_used,eval-175
how do i get to the movie theater by bus,directions,eval-176
please transfer half of my funds to an alternate account,transfer,eval-177
who should i call for a w2,w2,eval-178
i want to be called tom,change_user_name,eval-179
connect with my phone,sync_device,eval-180
could my credit be increased to 5000 dollars,credit_limit_change,eval-181
please talk a bit faster,change_speed,eval-182
how can i jump start a car,jump_start,eval-183
"it was lovely to speak with you, bye bye",goodbye,eval-184
tell me what the interest rate is on my personal loan through chase,interest_rate,eval-185
"i need a new credit card, show me suggestions",new_card,eval-186
can i safely travel to france or is it dangerous,travel_alert,eval-187
where would my phone be,find_phone,eval-188
read my reminder list back to me,reminder,eval-189
i want to report fraudulent activity on my mastercard,report_fraud,eval-190
find instructions on baking lemon cake,recipe,eval-191
i want your volume louder,change_volume,eval-192
"where is the closest red lobster to my location right now, which is 5th avenue",directions,eval-193
when is my flight expected to arrive,flight_status,eval-194
i was just at target and they declined my card and i can't understand why,card_declined,eval-195
i'm sorry please repeat the question,repeat,eval-196
you have my gratitude,thank_you,eval-197
is there a due date on the bill,bill_due,eval-198
did my order get here yet,order_status,eval-199
how long to washington dc on a bus,distance,eval-200
what oil do i need for my honda crv and how do i change it,oil_change_how,eval-201
where do i report if i lost my luggage,lost_luggage,eval-202
when was i paid most recently,payday,eval-203
remind me of how days i had off so far for the year,pto_used,eval-204
what is the meaning of word alliance,definition,eval-205
i need a reminder to order cookies,reminder_update,eval-206
i need to know the amount of my income,income,eval-207
i would like to know if you are a robot,are_you_a_bot,eval-208
set me an alarm now,alarm,eval-209
what do you think life is really about,meaning_of_life,eval-210
does my western union card have international transaction fees,international_fees,eval-211
i want you to reset to factory settings,reset_settings,eval-212
give me information on grub burger reservations,accept_reservations,eval-213
where do you hale from,where_are_you_from,eval-214
give me the date,date,eval-215
set an alarm for 235pm and another an hour later,alarm,eval-216
help me solve this math equation,calculator,eval-217
i lost a card and i need to report it,report_lost_card,eval-218
i want your name to be henry,change_ai_name,eval-219
have i added anything to my todo list,todo_list,eval-220
where should i look for my w-2,w2,eval-221
what day do i need to pay my internet and phone bill by,bill_due,eval-222
what new credit card should i submit an application for,new_card,eval-223
how old are you in 2019,how_old_are_you,eval-224
do you know my health benefits,insurance,eval-225
what does idiosyncratic mean,definition,eval-226
what kind of gas does my car need,gas_type,eval-227
what's the traffic like right now for my route to work,traffic,eval-228
"i need to make a quick decision, so roll a dice!",roll_dice,eval-229
i am camile,change_user_name,eval-230
what is the meaning of fascism,definition,eval-231
was the order delivered,order_status,eval-232
how many years have you been living,how_old_are_you,eval-233
can you tell me how good my card's apr is,apr,eval-234
talk to me in a speedier manner from here on out,change_speed,eval-235
can i make a change to my credit limit,credit_limit_change,eval-236
"no, that's not it",no,eval-237
what's the time of arrival on my new credit card,replacement_card_duration,eval-238
tell me how to change my insurance policy,insurance_change,eval-239
i accidentally caught my card on fire,damaged_card,eval-240
has my card application successfully gone through,application_status,eval-241
is my todo list free,todo_list,eval-242
i need my pin number for my bank of america account and i can't remember it,pin_change,eval-243
make an eft to my savings from my checking account,transfer,eval-244
flip the coin ai,flip_coin,eval-245
how can i make a change to my credit limit,credit_limit_change,eval-246
how many calories are in a bowel of wheaties,calories,eval-247
what are you interested in,what_are_your_hobbies,eval-248
call an uber and have it pick me up at my present location,uber,eval-249
"how can i say ""cancel my order"" in french",translate,eval-250
how many days have i used,pto_used,eval-251
how long to wait before dining in restaurant beta,how_busy,eval-252
how long does it take milk to expire,food_last,eval-253
i want to know the bofa routing number,routing,eval-254
is my tire pressure okay on my car,tire_pressure,eval-255
when should i change my oil,oil_change_when,eval-256
give me my credit limit,credit_limit,eval-257
what company designed you,who_made_you,eval-258
i'd like to change the pin number on my visa account,pin_change,eval-259
what do i have on my todo list,todo_list,eval-260
who do i contact for lost luggage,lost_luggage,eval-261
how much time to drive to the closest bank,distance,eval-262
let me hear something funny,tell_joke,eval-263
"no, that's wrong",no,eval-264
i want to call mark,make_call,eval-265
what's the exchange rate between country a and country b,exchange_rate,eval-266
can i travel to south africa without getting a shot,vaccines,eval-267
howcan i locate my luggage,lost_luggage,eval-268
give arianna my current location,share_location,eval-269
