text,intent,id
i need you to book me a flight from ft lauderdale to houston on southwest,book_flight,train-0
my check engine light is on and i need to take a look at it,schedule_maintenance,train-1
is the company party on my list of reminders,reminder,train-2
are you a human,are_you_a_bot,train-3
i need to do cleaning so add it to my to do list,todo_list_update,train-4
how do i change my oil and what kind do i need,oil_change_how,train-5
how healthy are french fries,nutrition_info,train-6
i'd like to have everything on my shopping list,order,train-7
what type of plugs are used in cambodia,plug_type,train-8
say trivia about lebron james,fun_fact,train-9
speak in a woman's voice,change_accent,train-10
can you please start my car,smart_home,train-11
please set an alarm for mid day,alarm,train-12
i need someone to look at my car and tell me why the light is on,schedule_maintenance,train-13
share my location with ben and jerry,share_location,train-14
tell lydia and laura where i am located,share_location,train-15
what is latin for i love you,translate,train-16
what is the name of the insurance plan that i'm enrolled in,insurance,train-17
whereabouts are you from,where_are_you_from,train-18
what's the deal with my health care,insurance,train-19
what is the tax amount,taxes,train-20
do i need to get vaccinated to go to thailand,vaccines,train-21
how much time have i taken off this year,pto_used,train-22
what is that tax form that shows my wages and where do i get it,w2,train-23
i have to send a text,text,train-24
what is the average wait time at the cheese cake factory,how_busy,train-25
what's my pay,income,train-26
i think my account is block but i am not sure why,account_blocked,train-27
how many personal days have i taken,pto_used,train-28
tell me how long i will need to spend preparing a meat loaf dish,cook_time,train-29
i would like to set up direct deposit,direct_deposit,train-30
how much longer till the next day off,next_holiday,train-31
how much is my gas bill,bill_balance,train-32
flip a coin heads or tails,flip_coin,train-33
i need a recipe on how to make beef stew,recipe,train-34
how cold will it be tomorrow,weather,train-35
can i substitute ginger for garlic,ingredient_substitution,train-36
flip that coin now,flip_coin,train-37
"ai, where do i go to order checks for my usbank account",order_checks,train-38
what time do you have on your watch,time,train-39
just call me al,change_user_name,train-40
have an alarm set for three in the morning,alarm,train-41
when's the last time i got a paycheck,payday,train-42
how many hours will it take to get to my destination,distance,train-43
i need you to flip a coin so i can decide,flip_coin,train-44
please give me today's date,date,train-45
so i made a fraudulent transaction,report_fraud,train-46
let me know the rules for carry ons for continental,carry_on,train-47
do you know my credit score,credit_score,train-48
what types of things do you like to do in your spare time,what_are_your_hobbies,train-49
i need to know the things on my shopping list,shopping_list,train-50
my gps coordiantes will be shared with aunt sunny,share_location,train-51
what's up,greeting,train-52
how do i get to the college by bus,directions,train-53
what interest rate will regions give me,interest_rate,train-54
can you let my bank know i'll be in uruguay from january to august,travel_notification,train-55
are there any specific shots i should get before traveling to england,vaccines,train-56
does japan have any travel alerts i should be aware of,travel_alert,train-57
i'd like a new life insurance plan,insurance_change,train-58
do i have any meetings today between 8 and 9,meeting_schedule,train-59
what is 213 times 3,calculator,train-60
when do i need to get an oil change,oil_change_when,train-61
play the next track,next_song,train-62
what day is it tomorrow,date,train-63
what's the status of my united flight,flight_status,train-64
go back to initial factory state,reset_settings,train-65
do i have any personal days left,pto_balance,train-66
i really don't know,maybe,train-67
i want to make sure my reservation for 5 at mcdonalds is still set,confirm_reservation,train-68
what were my purchases on visa card last month,transactions,train-69
who plays this song,what_song,train-70
return it back to the original settings,reset_settings,train-71
"can you schedule a meeting with jessica at the office, please",schedule_meeting,train-72
exactly what does altruism mean,definition,train-73
"how much can i spend, at most, on my chase freedom",credit_limit,train-74
"yes, that is accurate",yes,train-75
are there any travel alerts in that region,travel_alert,train-76
i want you to make me a pto request for me for april twenty through may two,pto_request,train-77
what sorts of subjects do you know about,what_can_i_ask_you,train-78
i'd like to make a vacation request,pto_request,train-79
i need you to flip a coin once,flip_coin,train-80
how many calories do cheetos have,calories,train-81
what day is my car insurance due,bill_due,train-82
please include laundry on my to do list,todo_list_update,train-83
what meetings do i have today,meeting_schedule,train-84
how do i go about setting up direct deposit,direct_deposit,train-85
where can i look up x's routing number,routing,train-86
no way,no,train-87
you need to set the timer for me,timer,train-88
do i need a visa to get into canada later this year,international_visa,train-89
please change the pin on my bank of america account to be 1234,pin_change,train-90
why would the bank have frozen my account,account_blocked,train-91
how is my calendar looking for may 6th,calendar,train-92
use a woman's voice,change_accent,train-93
can you tell me if eating at outback's any good,restaurant_reviews,train-94
send my location to ben and jerry,share_location,train-95
can you tell me the definition of sucrose,definition,train-96
my credit score is,credit_score,train-97
when did i most recently have my car in the shop,last_maintenance,train-98
please make a pto request for dates tomorrow to the twentieth,pto_request,train-99
assist me by setting my alarm for 9:00 and another for 11:00,alarm,train-100
i'm calling you rupert from now on,change_ai_name,train-101
i must find the interest rate for my checking account,interest_rate,train-102
will i be charged if i use the card in germany,international_fees,train-103
what is 2 inches in meters,measurement_conversion,train-104
set alarm for 5 am,alarm,train-105
what is the mpg like for this car while driving in the city,mpg,train-106
where can i get a w2 form from,w2,train-107
set a timer for 5 minutes,timer,train-108
set a six minute timer,timer,train-109
send over a hundred dollars from huntington into saving,transfer,train-110
annul the reservation i created,cancel_reservation,train-111
tell me interesting facts about lighthouses,fun_fact,train-112
when am i next having a meeting in december,calendar,train-113
do i have get an oil change on my todo list,todo_list,train-114
can you tell me why my bank account is frozen,account_blocked,train-115
